8.412,8.204123473
8.502,8.258812566
8.604,8.337807922
8.703,8.441869112
8.799,8.530738888
8.895,8.60593639
8.961,8.684172176
9.024,8.766205815
9,8.826971473
8.976,8.866469151
8.787,8.912043395
8.595,8.963694205
8.307,8.992557893
8.019,8.997874888
7.809,9.005470595
7.596,9.014585444
7.344,9.006230166
7.089,8.97964519
6.744,8.956098498
6.399,8.936349659
6.09,8.883939278
5.781,8.798107785
5.532,8.723669854
5.283,8.659865912
4.929,8.514787902
4.575,8.287676254
4.224,7.99296281
3.873,7.630647571
3.726,7.253140917
3.576,6.860442849
3.693,6.427487532
3.807,5.955034537
4.095,5.571451317
4.383,5.276737873
4.77,5.048866654
5.157,4.886318517
5.772,4.741240507
6.384,4.612873054
7.014,4.4845056
7.641,4.356897717
8.292,4.262710946
8.94,4.201185717
9.378,4.373608273
9.816,4.779219044
10.152,5.053424078
10.488,5.196982946
11.004,5.340541815
11.52,5.485619824
11.343,9.914676761
11.163,10.17976695
10.89,10.39928289
10.617,10.57398416
10.26,10.68791977
9.9,10.74260886
9.33,10.74260886
8.757,10.68791977
8.259,10.60892441
7.761,10.50562279
7.314,10.45549112
6.864,10.45928898
6.555,10.39776375
6.246,10.27091543
6.036,10.1471054
5.826,10.02633366
5.631,9.876698224
5.436,9.698199102
5.358,9.47792359
5.277,9.214352546
5.268,8.929513522
5.259,8.623406517
5.298,8.358316332
5.337,8.135002537
5.523,7.901814322
5.709,7.660270829
5.895,7.45290802
6.081,7.282004605
6.258,7.208326244
6.435,7.231872937
6.603,7.294157737
6.771,7.395180644
6.99,7.488607844
7.209,7.575958478
7.251,7.696730224
7.293,7.852442224
7.278,8.004356371
7.263,8.151713093
7.236,8.312742088
7.209,8.486683785
7.185,8.583908839
7.158,8.60593639
7.101,8.629483083
7.041,8.655308488
7.035,8.64771278
7.029,8.606695961
6.915,8.565679141
6.801,8.523902751
6.75,8.422120273
6.696,8.345403629
6.63,8.291474107
6.561,8.258812566
